City,Cloudiness,Country,Date ,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint Anthony,1,US,1566611914,29,43.97,-111.68,77.0,9.17
Dikson,100,RU,1566611917,97,73.51,80.55,40.36,18.52
Busselton,28,AU,1566611919,51,-33.64,115.35,55.99,8.3
Rikitea,35,PF,1566611872,69,-23.12,-134.97,71.64,21.12
Kaitangata,77,NZ,1566611921,44,-46.28,169.85,57.99,11.99
Albany,40,US,1566611923,63,42.65,-73.75,66.99,6.93
Saint-Philippe,40,CA,1566611924,77,45.36,-73.48,66.2,9.53
Torbay,90,CA,1566611780,94,47.66,-52.73,69.01,20.8
Dingle,100,PH,1566611927,74,11.0,122.67,84.85,14.99
Ambulu,13,ID,1566611928,86,-8.35,113.61,73.78,14.74
Evensk,100,RU,1566611930,88,61.92,159.24,53.8,10.11
Hermanus,0,ZA,1566611931,90,-34.42,19.24,52.0,5.01
Hithadhoo,40,MV,1566611932,66,-0.6,73.08,82.86,7.23
Ponta do Sol,0,BR,1566611935,74,-20.63,-46.0,58.32,0.45
Opuwo,0,NA,1566611937,23,-18.06,13.84,52.94,7.43
Hilo,90,US,1566611939,62,19.71,-155.08,84.2,9.17
Jamestown,1,AU,1566611940,43,-33.21,138.6,61.38,16.37
Constitucion,90,MX,1566611942,63,23.99,-104.67,66.99,3.36
Bredasdorp,0,ZA,1566611922,87,-34.53,20.04,52.0,4.7
Skibbereen,90,IE,1566611944,100,51.55,-9.27,59.0,8.05
Coquimbo,20,CL,1566611947,93,-29.95,-71.34,51.8,6.93
Port Lincoln,67,AU,1566611948,69,-34.72,135.86,55.42,18.63
Carnarvon,0,ZA,1566611950,24,-30.97,22.13,55.84,7.78
Pevek,1,RU,1566611951,77,69.7,170.27,43.62,6.38
Jammalamadugu,100,IN,1566611823,69,14.85,78.38,80.01,16.11
Aklavik,75,CA,1566611954,66,68.22,-135.01,51.8,14.99
Hobart,75,AU,1566611955,45,-42.88,147.33,62.6,23.04
Lorengau,1,PG,1566611957,70,-2.02,147.27,84.39,12.39
Ushuaia,75,AR,1566611958,86,-54.81,-68.31,39.2,4.7
Tuktoyaktuk,90,CA,1566611959,87,69.44,-133.03,42.8,10.29
Kibala,20,TD,1566611961,94,9.11,18.35,75.2,2.64
Castro,90,CL,1566611962,100,-42.48,-73.76,50.0,12.75
Ekibastuz,40,KZ,1566611963,47,51.72,75.32,69.77,12.55
Avarua,0,CK,1566611881,69,-21.21,-159.78,77.0,16.11
Mount Gambier,99,AU,1566611829,71,-37.83,140.78,55.4,19.46
Anadyr,75,RU,1566611967,67,64.73,177.51,57.2,4.47
Bluff,57,AU,1566611969,49,-23.58,149.07,70.17,13.69
Port Alfred,0,ZA,1566611970,94,-33.59,26.89,55.99,4.0
Mataura,94,NZ,1566611971,75,-46.19,168.86,53.01,13.0
Jieshi,0,CN,1566611973,71,22.82,115.83,90.0,10.36
Saldanha,0,PT,1566611974,46,41.42,-6.55,67.63,1.43
Tiksi,100,RU,1566611878,98,71.64,128.87,47.67,0.85
Atuona,92,PF,1566611977,75,-9.8,-139.03,78.72,15.39
Yunyang,6,CN,1566611978,28,32.84,110.81,93.0,3.0
Neiafu,20,TO,1566611979,78,-18.65,-173.98,82.4,9.17
Geraldton,20,CA,1566611981,63,49.72,-86.95,60.8,3.36
Shaki,40,AM,1566611982,36,39.56,46.0,75.2,6.93
Butaritari,87,KI,1566611984,69,3.07,172.79,84.94,8.41
Lavrentiya,52,RU,1566611985,67,65.58,-170.99,51.01,6.73
Bambanglipuro,96,ID,1566611986,82,-7.95,110.28,74.76,14.5
Vestmannaeyjar,100,IS,1566611988,89,63.44,-20.27,50.96,6.13
Kapaa,20,US,1566611989,55,22.08,-159.32,89.6,9.17
Narsaq,0,GL,1566611990,80,60.91,-46.05,41.0,1.12
Vaini,40,IN,1566611992,94,15.34,74.49,69.8,5.82
Itaituba,2,BR,1566611741,81,-4.26,-55.99,72.2,1.66
Hami,0,CN,1566611994,17,42.84,93.51,86.51,1.1
Kupang,53,ID,1566611996,78,-10.16,123.6,76.66,11.77
Cidreira,0,BR,1566611997,92,-30.17,-50.22,51.21,3.98
Columbus,1,US,1566611757,94,32.46,-84.99,80.6,3.83
Punta Arenas,75,CL,1566612000,93,-53.16,-70.91,41.0,12.75
Puerto Ayora,7,EC,1566612001,93,-0.74,-90.35,70.0,4.0
Gorontalo,2,ID,1566612003,63,0.54,123.06,85.14,13.85
Sainte-Agathe-des-Monts,75,CA,1566612005,63,46.05,-74.28,62.6,6.93
Longyearbyen,75,NO,1566612011,72,78.22,15.63,37.4,9.17
Komsomolskiy,100,RU,1566612014,86,67.55,63.78,49.16,15.9
Chokurdakh,6,RU,1566612015,41,70.62,147.9,65.13,4.76
Sao Filipe,25,CV,1566612018,76,14.9,-24.5,77.49,7.45
Riihimaki,20,FI,1566612020,93,60.74,24.78,57.99,9.17
Suez,0,EG,1566612022,83,29.97,32.54,72.54,8.08
Muros,90,ES,1566612023,100,42.77,-9.06,66.99,2.24
Dauriya,0,RU,1566612025,56,49.93,116.85,68.83,4.16
Chingirlau,50,KZ,1566612026,34,51.09,54.08,73.71,4.65
Kavaratti,100,IN,1566612028,78,10.57,72.64,82.62,19.46
Yar-Sale,100,RU,1566612030,72,66.83,70.83,54.31,15.39
Zverinogolovskoye,46,RU,1566612031,79,54.46,64.85,60.18,8.57
Saint-Louis,1,SN,1566612033,83,16.03,-16.5,79.74,16.46
Nanortalik,76,GL,1566612034,92,60.14,-45.24,39.49,0.22
Thompson,75,CA,1566612035,77,55.74,-97.86,64.4,3.36
Noumea,90,NC,1566612037,49,-22.28,166.46,72.0,14.99
Talnakh,75,RU,1566612038,93,69.49,88.39,55.4,6.71
Stromness,90,CA,1566612040,59,42.87,-79.55,66.99,6.93
Salalah,75,OM,1566612041,88,17.01,54.1,78.8,3.36
Cape Town,0,ZA,1566611846,75,-33.93,18.42,51.01,6.93
Paita,15,PE,1566612044,93,-5.09,-81.11,62.05,12.73
Ucluelet,75,CA,1566612045,77,48.94,-125.55,66.0,4.7
Pali,0,IN,1566611786,65,25.77,73.33,84.44,10.45
Kailua,75,US,1566612050,62,21.39,-157.74,91.4,8.05
Phangnga,40,TH,1566612051,78,8.45,98.53,80.6,4.7
Bethel,20,US,1566612053,52,60.79,-161.76,64.4,9.17
Teguise,0,ES,1566612054,57,29.06,-13.56,78.8,13.87
Georgetown,40,GY,1566612055,78,6.8,-58.16,82.4,9.17
Inhambane,4,MZ,1566612057,93,-23.87,35.38,57.17,2.48
Novikovo,70,RU,1566612058,92,51.15,37.89,58.57,8.7
Bosaso,6,SO,1566612060,65,11.28,49.18,87.88,9.42
Lebu,84,ET,1566612061,94,8.96,38.73,53.77,0.78
Chernyshevskiy,95,RU,1566612064,68,63.01,112.47,61.63,3.36
Sao Joao do Piaui,0,BR,1566612065,51,-8.36,-42.25,73.64,8.57
Adeje,99,NG,1566612066,91,5.68,5.76,74.97,4.32
Severo-Kurilsk,100,RU,1566612069,84,50.68,156.12,51.0,13.06
Hambantota,90,LK,1566612071,100,6.12,81.12,75.2,3.36
Nikolskoye,75,RU,1566612075,87,59.7,30.79,60.8,6.71
Isangel,75,VU,1566612076,57,-19.55,169.27,75.2,14.99
Norman Wells,75,CA,1566612078,66,65.28,-126.83,51.8,8.05
Ribeira Grande,0,PT,1566612079,84,38.52,-28.7,69.25,16.98
Havelock,90,US,1566612080,74,34.88,-76.9,84.2,10.29
Vostok,100,RU,1566612083,85,46.45,135.83,55.32,1.57
Port Elizabeth,75,US,1566612088,93,39.31,-74.98,69.01,3.36
Lethem,0,GY,1566612089,72,3.38,-59.8,79.58,1.05
Palmer,75,AU,1566612091,62,-34.85,139.16,62.01,18.34
Guerrero Negro,0,MX,1566612092,85,27.97,-114.04,68.24,10.51
Fort Morgan,1,US,1566612093,64,40.25,-103.8,73.4,13.87
Cap Malheureux,40,MU,1566612095,93,-19.98,57.61,66.2,10.74
Maniitsoq,0,GL,1566612096,68,65.42,-52.9,44.75,5.08
Payo,61,ID,1566612098,47,-3.75,103.64,82.17,4.43
Bandarbeyla,22,SO,1566612099,61,9.49,50.81,79.45,22.82
Platteville,1,US,1566612077,82,42.73,-90.48,66.2,4.7
Yellowknife,90,CA,1566612101,87,62.45,-114.38,53.6,10.29
Dunedin,1,NZ,1566611806,58,-45.87,170.5,54.0,13.0
Ahipara,0,NZ,1566612104,95,-35.17,173.16,63.0,1.99
Honningsvag,100,NO,1566612105,81,70.98,25.97,44.71,14.14
Port Blair,75,IN,1566612107,88,11.67,92.75,78.8,11.41
Cacapava do Sul,0,BR,1566612108,96,-30.51,-53.49,44.17,2.89
Fare,0,PF,1566612110,68,-16.7,-151.02,78.36,7.99
Camiri,0,BO,1566612111,67,-20.04,-63.52,53.16,2.82
Katangli,100,RU,1566612112,86,51.71,143.23,52.24,14.63
Ambon,0,FR,1566611919,72,47.55,-2.56,68.0,9.17
Marsa Matruh,0,EG,1566611977,82,31.35,27.25,79.31,8.72
Cacequi,37,BR,1566612116,84,-29.88,-54.83,48.51,6.38
Aksarka,100,RU,1566612118,83,66.56,67.8,52.29,18.57
Alofi,40,NU,1566611927,74,-19.06,-169.92,84.2,13.87
Homer,1,US,1566611866,67,59.64,-151.54,69.01,14.99
Buala,71,SB,1566612124,77,-8.15,159.59,82.48,9.33
Kodiak,1,US,1566612125,83,39.95,-94.76,73.0,8.05
Ayagoz,0,KZ,1566612127,58,47.96,80.43,59.98,17.92
Arraial do Cabo,100,BR,1566612128,88,-22.97,-42.02,64.75,10.67
Rocha,0,UY,1566612131,86,-34.48,-54.34,42.55,4.74
Saskylakh,91,RU,1566612133,60,71.97,114.09,57.89,6.2
Luziania,0,BR,1566612055,36,-16.25,-47.95,75.2,3.36
Alyangula,73,AU,1566612135,51,-13.85,136.42,80.6,10.29
Kenora,68,CA,1566612137,60,49.76,-94.48,69.8,6.93
Hovd,75,NO,1566612138,93,63.83,10.7,57.0,3.36
Sumbe,78,AO,1566612139,90,-11.2,13.84,68.71,2.06
Yumen,0,CN,1566612141,19,40.29,97.04,81.13,11.39
Iqaluit,40,CA,1566612142,70,63.75,-68.52,48.2,7.54
Moerai,21,PF,1566612143,76,-22.43,-151.33,70.33,15.3
Nador,75,MA,1566612145,83,35.17,-2.93,75.2,5.82
Morehead,1,US,1566612146,88,38.18,-83.43,64.99,6.44
Nichinan,75,JP,1566612147,94,31.65,131.31,82.4,6.93
Grindavik,90,IS,1566612149,81,63.84,-22.43,51.8,4.7
Banda Aceh,100,ID,1566612150,75,5.56,95.32,82.37,14.34
Kamaishi,40,JP,1566612151,65,39.28,141.86,78.8,8.05
Esso,100,RU,1566612153,72,55.93,158.7,58.05,5.3
Peterhead,75,AU,1566612154,62,-34.83,138.5,62.01,18.34
Barrow,98,AR,1566612156,63,-38.31,-60.23,51.19,12.57
Dudinka,75,RU,1566611860,93,69.41,86.18,55.4,6.71
Praya,75,ID,1566612158,69,-8.71,116.27,80.6,14.99
Codrington,0,AU,1566612160,52,-28.95,153.24,71.01,6.93
Sena Madureira,26,BR,1566612163,57,-9.07,-68.66,76.52,0.89
Tasiilaq,100,GL,1566612165,97,65.61,-37.64,41.0,0.87
Kajaani,30,FI,1566612166,100,64.22,27.73,48.2,2.24
Tuatapere,52,NZ,1566612167,74,-46.13,167.69,53.01,15.99
Clyde River,1,CA,1566612062,87,70.47,-68.59,46.4,13.87
Gharghoda,100,IN,1566612170,72,22.18,83.36,82.84,3.65
Kenai,1,US,1566612172,42,60.55,-151.26,69.8,5.82
Hasaki,75,JP,1566612173,79,35.73,140.83,88.0,4.7
Darnah,0,LY,1566612174,81,32.77,22.64,77.8,14.34
Esperance,75,AU,1566612176,93,-33.86,121.89,51.8,3.36
Brokopondo,0,SR,1566612177,88,5.06,-54.98,77.0,3.36
Tigre,0,AR,1566612178,66,-34.42,-58.58,55.4,5.82
Mar del Plata,100,AR,1566612181,64,-46.43,-67.52,47.92,14.27
Lagoa,0,PT,1566612182,88,37.14,-8.45,71.01,9.24
Khatanga,11,RU,1566612184,47,71.98,102.47,64.23,6.08
Novopskov,85,UA,1566612185,93,49.54,39.1,66.33,9.06
Oktyabrskoye,20,RU,1566612190,100,56.73,85.44,55.99,6.71
Qaanaaq,89,GL,1566612192,68,77.48,-69.36,35.32,21.92
Vuktyl,100,RU,1566612193,91,63.86,57.31,52.18,12.24
Westport,1,US,1566612195,68,41.14,-73.36,70.0,5.82
Atherton,90,AU,1566612196,50,-17.27,145.48,81.0,18.34
Mayskiy,79,RU,1566612199,53,43.63,44.06,71.6,5.93
Orlik,0,PL,1566612200,93,53.95,17.74,62.01,1.12
Lazurne,18,UA,1566612202,78,46.77,34.99,70.53,12.19
Port Hawkesbury,1,CA,1566612203,68,45.62,-61.36,70.0,6.93
Fairbanks,90,US,1566611942,76,64.84,-147.72,55.99,12.75
La Palma,81,CO,1566612208,77,5.36,-74.39,71.37,3.29
Benghazi,0,LY,1566612209,74,32.12,20.07,78.9,16.78
Kahului,40,US,1566612122,66,20.89,-156.47,87.8,21.92
Plettenberg Bay,0,ZA,1566612212,41,-34.05,23.37,62.43,4.9
North Bend,1,US,1566612213,77,43.41,-124.22,66.0,17.22
Akhaldaba,0,GE,1566612215,73,41.68,44.66,71.6,12.75
Los Llanos de Aridane,0,ES,1566612022,78,28.66,-17.92,73.4,16.11
Airai,72,TL,1566612217,53,-8.93,125.41,84.64,5.14
Ulagan,92,RU,1566612219,84,50.63,87.96,43.0,3.44
Sinnamary,0,GF,1566612220,76,5.38,-52.96,82.26,10.18
San Carlos,75,NI,1566612222,7,11.12,-84.78,73.0,11.99
The Valley,40,AI,1566612223,83,18.22,-63.06,82.4,8.05
Nemuro,75,JP,1566612226,88,43.32,145.57,66.2,8.05
Kungsbacka,75,SE,1566612227,93,57.49,12.08,63.0,4.7
Souillac,0,FR,1566612228,55,45.6,-0.6,66.99,6.64
Pryazha,89,RU,1566612230,93,61.69,33.62,57.2,6.71
Zyryanka,64,RU,1566612231,46,65.73,150.89,75.53,7.27
Upernavik,100,GL,1566612232,56,72.79,-56.15,39.53,5.95
Saint George,0,GR,1566612234,64,39.45,22.34,79.0,1.72
Fukue,20,JP,1566612235,74,35.03,136.69,91.99,3.36
Tupik,0,RU,1566612237,63,54.43,119.94,67.99,2.26
Namibe,32,AO,1566612238,88,-15.19,12.15,66.49,6.04
Haines Junction,100,CA,1566612239,73,60.75,-137.51,46.35,1.5
Marsh Harbour,96,BS,1566612241,77,26.54,-77.06,83.92,21.56
Karratha,0,AU,1566611981,19,-20.74,116.85,85.03,4.18
East London,0,ZA,1566612245,76,-33.02,27.91,54.47,2.37
Berlevag,100,NO,1566612247,90,70.86,29.09,43.83,7.63
Christchurch,30,NZ,1566612248,62,-43.53,172.64,57.99,3.36
Kitale,99,KE,1566612250,91,1.02,35.0,56.45,1.07
Sorgun,1,TR,1566612252,97,39.81,35.19,58.36,3.87
Ghosi,90,IN,1566612254,100,25.16,85.08,78.8,6.93
Praia da Vitoria,75,PT,1566612257,100,38.73,-27.07,69.8,15.75
Cockburn Town,0,TC,1566612258,81,21.46,-71.14,83.56,24.76
Salinopolis,11,BR,1566612259,81,-0.61,-47.36,80.46,13.82
Conde,47,BR,1566612261,98,-11.81,-37.61,66.48,2.1
Husavik,99,CA,1566612262,46,50.56,-96.99,70.0,7.0
Half Moon Bay,5,US,1566612263,60,37.46,-122.43,75.0,10.29
Victoria,75,BN,1566612003,83,5.28,115.24,87.8,3.36
Coihaique,0,CL,1566612266,87,-45.58,-72.07,44.6,2.24
Marzuq,59,YE,1566612268,35,14.4,46.47,78.16,2.17
Namatanai,100,PG,1566612269,84,-3.66,152.44,79.17,15.61
Druzhba,81,UA,1566612270,60,49.36,25.65,60.01,1.01
Nome,1,US,1566612272,88,30.04,-94.42,82.0,6.62
Broome,0,GB,1566612274,93,52.47,1.45,63.0,3.36
Sarangani,100,PH,1566612276,68,5.4,125.46,82.71,4.5
Mackay,90,CA,1566612278,93,53.65,-115.58,60.8,4.7
Kalmunai,87,LK,1566612280,62,7.42,81.82,80.61,0.94
Jiblah,0,YE,1566612281,51,13.92,44.15,69.46,1.19
Dover,90,US,1566612161,93,39.16,-75.52,68.0,8.1
Miraflores,0,PE,1566612072,19,-16.39,-71.52,57.2,2.24
Moose Factory,1,CA,1566612285,93,51.26,-80.61,51.8,2.24
Sao Joao da Barra,73,BR,1566612288,94,-21.64,-41.05,62.03,2.55
San Patricio,100,PY,1566612290,82,-26.98,-56.83,52.2,5.7
Great Falls,1,US,1566612292,36,47.5,-111.29,77.0,5.82
Sitka,58,US,1566612293,80,37.17,-99.65,70.0,25.99
Bagan,99,RU,1566612296,60,54.1,77.67,67.45,11.45
Jumla,34,NP,1566612297,78,29.28,82.18,63.22,1.97
Nabire,69,ID,1566612298,60,-3.36,135.5,83.11,7.02
Ancud,90,CL,1566612301,100,-41.87,-73.83,50.0,12.75
Smithers,75,CA,1566612166,59,54.78,-127.17,62.6,9.17
Katsuura,75,JP,1566612304,78,33.93,134.5,82.99,5.82
Santa Rita,20,BR,1566612305,94,-7.13,-34.98,71.6,9.17
Zheleznodorozhnyy,20,RU,1566612306,93,55.75,38.0,59.0,4.47
Tumarbong,100,PH,1566612308,75,10.38,119.46,83.88,16.73
New Norfolk,75,AU,1566612309,45,-42.78,147.06,62.6,23.04
Polunochnoye,82,RU,1566612311,76,60.87,60.43,54.81,15.93
Charters Towers,5,AU,1566612312,35,-20.07,146.27,76.95,13.44
Hukuntsi,0,BW,1566612313,22,-23.98,21.76,52.96,7.63
Shimoda,75,JP,1566612315,69,34.7,138.93,84.0,16.11
Eyl,18,SO,1566612258,69,7.98,49.82,77.58,13.78
Terrace,90,CA,1566612109,93,54.52,-128.61,55.99,23.04
Bangui,75,CF,1566612319,88,4.39,18.55,75.2,5.82
Brae,81,GB,1566612320,87,60.4,-1.35,57.2,18.34
Harrisonville,40,US,1566612322,73,38.65,-94.35,75.99,3.36
Santa Rosa,100,AR,1566612323,69,-36.62,-64.29,54.31,14.18
Hobyo,60,SO,1566612324,76,5.35,48.53,77.83,18.57
Omboue,100,GA,1566612326,88,-1.57,9.26,74.95,13.76
Vila Velha,20,BR,1566612186,78,-3.71,-38.6,79.0,10.29
Sangar,10,RU,1566612331,53,63.92,127.47,70.09,3.44
Canby,1,US,1566612299,36,45.26,-122.69,82.4,3.36
Pacific Grove,1,US,1566612098,72,36.62,-121.92,71.6,10.29
Souris,75,CA,1566612336,68,46.36,-62.25,69.01,9.17
Athabasca,100,CA,1566612337,98,54.72,-113.29,55.62,6.13
