City,Cloudiness,Country,Date ,Humidity,Lat,Lng,Max Temp,Wind Speed
Noyabrsk,100,RU,1566612338,87,63.2,75.45,61.0,11.88
Scottsbluff,75,US,1566612265,82,41.87,-103.67,64.4,11.41
Te Anau,94,NZ,1566612341,74,-45.41,167.72,45.25,8.19
Cherskiy,87,RU,1566612343,34,68.75,161.3,66.58,3.74
Brigantine,75,US,1566612225,93,39.41,-74.36,70.0,3.36
Bambous Virieux,40,MU,1566612345,93,-20.34,57.76,66.2,7.0
Bendigo,0,AU,1566612256,45,-36.76,144.28,64.0,13.62
Ararat,0,AM,1566612348,46,39.85,44.7,69.8,1.97
Meulaboh,100,ID,1566612351,81,4.14,96.13,78.77,12.41
Prince Rupert,90,CA,1566612352,93,54.32,-130.32,57.2,11.41
Hofn,91,IS,1566612353,92,64.25,-15.21,37.75,9.66
Yulara,0,AU,1566612355,9,-25.24,130.99,69.8,5.82
Mangrol,40,IN,1566612356,83,25.33,76.51,80.6,2.24
Atambua,52,ID,1566612357,75,-9.11,124.89,77.1,7.49
Gravdal,95,NO,1566612359,93,59.79,5.78,60.01,8.05
Prince George,75,CA,1566612237,77,53.92,-122.75,62.01,8.05
Adrar,0,DZ,1566612361,12,27.87,-0.29,96.8,5.82
Pangody,100,RU,1566612363,90,65.85,74.49,53.08,20.51
Qaqortoq,0,GL,1566612364,80,60.72,-46.03,41.0,1.12
Kisangani,95,CD,1566612365,95,0.52,25.21,70.11,2.75
Pangnirtung,0,CA,1566612369,81,66.15,-65.72,40.59,1.07
Sivaki,83,RU,1566612371,55,52.63,126.75,73.89,3.49
Tonekabon,0,IR,1566612373,83,36.82,50.88,75.2,2.24
Mantua,40,IT,1566612375,88,45.16,10.79,75.2,3.36
Bafq,0,IR,1566612305,18,31.6,55.4,69.9,5.06
Krasnoarmeysk,0,RU,1566612378,87,56.12,38.15,59.0,6.71
Beringovskiy,38,RU,1566612379,45,63.05,179.32,60.77,4.36
Teya,20,MX,1566612381,79,21.05,-89.07,84.2,6.93
Horsham,69,AU,1566612382,59,-36.71,142.2,59.65,14.32
Kangaatsiaq,0,GL,1566612383,81,68.31,-53.46,44.25,5.84
Laguna,20,BZ,1566612385,83,16.17,-88.94,82.4,3.09
Kungurtug,92,RU,1566612386,67,50.6,97.53,50.98,5.17
Barguzin,0,RU,1566612387,40,53.62,109.63,69.37,4.7
Juneau,90,US,1566612254,93,58.3,-134.42,53.6,3.67
Ust-Kuyga,96,RU,1566612390,48,70.0,135.55,68.8,7.78
Thinadhoo,100,MV,1566612212,66,0.53,72.93,82.55,5.73
Tynda,50,RU,1566612393,55,55.15,124.74,69.52,4.38
At-Bashi,26,KG,1566612366,59,41.17,75.81,54.51,5.17
New Waterford,90,US,1566612395,67,40.85,-80.61,66.0,4.7
Puerto Ayacucho,20,CO,1566612397,83,5.66,-67.63,80.6,5.84
Baturaja,13,ID,1566612398,49,-4.12,104.17,86.55,5.59
Chuy,0,UY,1566612399,84,-33.69,-53.46,47.4,4.03
Maykor,42,RU,1566612401,88,59.01,55.89,52.76,9.15
Russell,75,US,1566612402,94,38.9,-98.86,73.99,10.29
Ketchikan,90,US,1566612405,93,55.34,-131.65,57.2,23.04
Bridlington,8,GB,1566612406,82,54.08,-0.19,64.4,10.29
Kavieng,25,PG,1566612409,76,-2.57,150.8,82.91,9.64
Prunisor,0,RO,1566612410,56,44.61,22.92,67.23,3.76
Marawi,100,PH,1566612411,71,8.0,124.29,84.99,4.0
Santa catarina de Tepehuanes,100,MX,1566612413,91,25.34,-105.72,56.85,4.29
Matagami,96,NG,1566612414,98,9.67,8.4,66.98,5.59
Milton Keynes,63,GB,1566612144,87,52.04,-0.76,60.01,3.36
Cayenne,0,GF,1566612417,94,4.94,-52.33,75.2,2.82
Prabumulih,90,ID,1566612419,49,-3.5,104.19,88.06,5.32
Khani,75,GE,1566612421,94,41.96,42.96,69.8,3.36
Milpitas,1,US,1566612383,56,37.43,-121.91,80.6,14.99
Cagliari,75,IT,1566612423,100,46.38,10.88,62.01,2.64
Nkhata Bay,55,MW,1566612425,82,-11.61,34.3,54.81,7.18
Petropavlovsk-Kamchatskiy,90,RU,1566612426,87,53.05,158.65,57.2,6.71
Salinas,1,US,1566612319,72,36.67,-121.66,73.0,10.29
Lake Charles,1,US,1566612429,83,30.23,-93.22,80.6,8.05
Severobaykalsk,53,RU,1566612431,50,55.65,109.32,65.18,7.05
Giresun,75,TR,1566612433,94,40.91,38.39,69.8,7.47
Rio Grande,0,BR,1566612189,96,-32.03,-52.1,45.0,1.48
Mahebourg,40,MU,1566612435,93,-20.41,57.7,66.2,7.0
Balakovo,100,RU,1566612437,65,52.02,47.82,64.68,13.6
Kompaniyivka,21,UA,1566612438,97,48.25,32.21,64.24,10.33
Faya,40,SA,1566612440,45,18.39,42.45,68.0,0.87
Klyuchi,96,RU,1566612441,51,52.25,79.17,67.0,8.88
Gao,2,ML,1566612274,78,16.28,-0.04,78.0,1.66
Shenkursk,97,RU,1566612444,87,62.11,42.91,51.79,4.85
Valvedditturai,100,LK,1566612291,77,9.82,80.17,83.32,18.57
Miri,100,NG,1566612449,93,10.31,9.75,68.26,2.95
Tucuman,0,PE,1566612450,36,-17.17,-70.89,49.18,1.68
Taos,1,US,1566612452,58,36.41,-105.57,82.4,13.73
Oranjemund,0,ZA,1566612453,53,-28.55,16.43,62.62,5.82
Lakes Entrance,0,AU,1566612454,33,-37.88,147.99,66.99,1.99
Sibolga,100,ID,1566612457,76,1.74,98.78,81.49,8.79
Waitati,1,NZ,1566612458,55,-45.75,170.57,57.0,10.0
Oga,75,IT,1566612460,100,46.46,10.35,57.2,4.7
Jijiga,28,ET,1566612461,77,9.35,42.8,59.04,8.32
Quelimane,81,MZ,1566612462,93,-17.88,36.89,64.86,2.62
Zhigansk,53,RU,1566612464,62,66.77,123.37,63.38,5.84
Tura,44,RU,1566612465,46,64.27,100.22,64.57,5.59
Whitehorse,90,CA,1566612467,66,60.72,-135.06,53.6,2.24
Trairi,5,BR,1566612469,89,-3.28,-39.27,71.25,5.64
Arroyo,15,BO,1566612471,48,-11.08,-66.08,77.1,2.06
Acajutla,4,SV,1566612268,76,13.59,-89.83,84.53,3.36
Galle,100,GN,1566612473,97,10.08,-12.83,69.82,2.37
Usinsk,100,RU,1566612379,91,66.0,57.56,46.89,14.85
Mangai,13,CD,1566612477,54,-4.07,19.59,74.56,0.89
Cam Ranh,20,VN,1566612478,59,11.92,109.15,91.4,2.24
Porto Walter,0,BR,1566612261,57,-8.27,-72.74,74.79,0.87
Hualmay,47,PE,1566612481,92,-11.1,-77.61,58.65,10.96
West Wendover,1,US,1566612482,20,40.74,-114.07,82.4,5.82
Northam,40,AU,1566612484,71,-31.65,116.67,53.6,5.82
Quatre Cocos,40,MU,1566612485,93,-20.21,57.76,66.2,7.0
Porto Novo,75,BR,1566612486,72,-23.68,-45.44,60.8,4.7
Luderitz,0,NA,1566612488,22,-26.65,15.16,66.2,2.24
Bucak,0,TR,1566612362,56,37.46,30.59,84.2,10.29
Viedma,100,AR,1566612490,54,-40.81,-62.99,56.34,16.15
Manokwari,100,ID,1566612434,77,-0.87,134.08,79.67,5.3
Lokosovo,63,RU,1566612493,83,61.13,74.84,58.88,16.06
Awjilah,0,LY,1566612494,93,29.14,21.3,71.32,8.95
Padang,41,ID,1566612496,83,-0.92,100.36,80.7,16.62
Ilulissat,0,GL,1566612497,64,69.22,-51.1,37.4,8.66
Broken Hill,0,AU,1566612499,27,-31.97,141.45,64.4,14.99
Camara de Lobos,20,PT,1566612500,73,32.63,-16.97,73.4,13.87
Myitkyina,23,MM,1566612501,65,25.38,97.4,82.26,3.42
Zhanakorgan,0,KZ,1566612503,29,43.91,67.25,76.02,20.74
Zlobin,0,HR,1566612504,69,45.29,14.65,75.99,4.7
Fort Nelson,75,CA,1566612506,39,58.81,-122.69,66.2,6.93
Voh,31,NC,1566612507,68,-20.95,164.69,68.31,25.57
Novokizhinginsk,31,RU,1566612508,43,51.61,109.59,71.52,5.86
Vredendal,0,ZA,1566612510,58,-31.68,18.49,63.96,9.98
Manzanillo,75,MX,1566612511,74,19.05,-104.32,86.0,11.41
Xining,100,CN,1566612512,54,36.62,101.77,73.99,1.52
Sydney,0,AU,1566611746,22,-33.85,151.22,75.0,11.41
Sioux Lookout,40,CA,1566612252,68,50.1,-91.92,66.2,4.7
Cabedelo,20,BR,1566612516,94,-6.97,-34.84,71.6,9.17
Soyo,100,AO,1566612249,86,-6.13,12.37,72.47,9.84
Moshenskoye,100,RU,1566612519,88,58.52,34.59,57.42,9.78
Lacolle,40,CA,1566612520,77,45.08,-73.37,66.2,4.14
Requena,0,ES,1566612521,73,39.49,-1.1,72.0,5.82
La Ronge,75,CA,1566612523,68,55.1,-105.3,64.4,4.7
Nara,75,JP,1566612524,78,34.68,135.8,82.99,12.75
Sabha,0,LY,1566612525,29,27.03,14.43,76.07,8.39
Rockland,75,CA,1566612511,59,45.55,-75.29,64.4,6.93
Kingori,75,TZ,1566612528,88,-3.38,37.02,68.0,5.68
Avera,90,US,1566612529,94,33.19,-82.53,77.0,9.17
Makakilo City,75,US,1566612531,62,21.35,-158.09,91.4,8.05
Lagunas,0,PE,1566612532,94,-5.23,-75.68,70.87,0.4
Hilsa,90,IN,1566612445,100,25.32,85.28,78.8,6.93
San Quintin,100,PH,1566612535,95,17.54,120.52,75.12,8.32
Luena,12,AO,1566612538,56,-11.78,19.91,46.5,2.82
Davila,90,PH,1566612541,100,18.47,120.58,77.0,14.99
Sao Jose da Coroa Grande,65,BR,1566612543,95,-8.9,-35.15,68.58,3.6
Tazovskiy,100,RU,1566612544,89,67.47,78.7,47.09,8.9
Sibu,75,MY,1566612547,88,2.29,111.83,80.6,4.7
La Palma del Condado,0,ES,1566612548,57,37.38,-6.55,78.8,4.7
Oistins,20,BB,1566612327,74,13.07,-59.53,82.4,10.29
Krasnogorskoye,26,RU,1566612551,87,57.7,52.5,52.47,7.67
Yulin,98,CN,1566612553,65,38.3,109.75,64.86,1.03
Ierapetra,20,GR,1566612556,73,35.01,25.74,81.0,3.36
Port Macquarie,0,AU,1566612411,32,-31.43,152.91,77.0,6.93
Srednekolymsk,30,RU,1566612559,31,67.46,153.71,77.65,2.66
Kidal,91,ML,1566612560,60,18.44,1.41,84.19,5.82
Panzhihua,0,CN,1566612562,62,26.59,101.72,77.0,0.87
Qostanay,0,KZ,1566612563,77,53.17,63.58,59.0,6.71
Buchanan,20,LR,1566612565,94,5.88,-10.05,75.2,10.98
Xiaoshi,7,CN,1566612566,63,30.59,116.63,87.09,15.37
Nuuk,0,GL,1566612567,87,64.17,-51.74,42.8,4.65
Saint-Francois,53,FR,1566612569,93,46.42,3.91,53.6,3.38
Rome,0,IT,1566612570,68,41.89,12.48,75.99,4.7
Albion,90,US,1566612571,88,41.69,-98.0,73.4,5.82
Henties Bay,0,NA,1566612573,24,-22.12,14.28,66.99,13.62
Lompoc,1,US,1566612574,72,34.64,-120.46,73.99,8.05
Jalu,0,LY,1566612575,87,29.03,21.55,72.43,7.58
Kirakira,100,SB,1566612577,86,-10.46,161.92,78.32,21.36
Dalvik,32,SE,1566612579,93,57.79,14.13,59.0,9.17
Zanjan,0,IR,1566612581,32,36.67,48.48,68.87,4.14
Yepocapa,20,GT,1566612538,88,14.5,-90.96,69.8,4.7
Goderich,0,CA,1566612565,67,43.74,-81.71,66.99,1.01
Lodhikheda,75,IN,1566612540,88,21.58,78.83,77.0,4.7
Touros,20,BR,1566612475,88,-5.2,-35.46,73.4,3.36
Aragarcas,90,BR,1566612587,28,-15.9,-52.25,81.76,1.12
Urucui,0,BR,1566612588,39,-7.23,-44.56,71.08,5.7
Semarang,20,ID,1566612590,61,-6.99,110.42,80.6,4.7
Nobres,100,BR,1566612591,30,-14.72,-56.34,82.35,0.29
Mehamn,97,NO,1566612593,92,71.03,27.85,42.81,7.38
Verkhnyaya Inta,100,RU,1566612594,95,65.99,60.32,48.51,9.53
Tocopilla,42,CL,1566612596,85,-22.09,-70.2,55.05,6.42
Biak,94,ID,1566612597,79,-0.91,122.88,71.28,5.41
Cabo San Lucas,90,MX,1566612497,88,22.89,-109.91,82.99,8.05
Egvekinot,100,RU,1566612599,49,66.32,-179.17,56.05,9.48
Ngunguru,0,NZ,1566612601,60,-35.62,174.5,62.01,8.99
Maragogi,65,BR,1566612603,95,-9.01,-35.22,68.58,3.6
Comodoro Rivadavia,0,AR,1566612604,87,-45.87,-67.48,46.4,2.24
Sept-Iles,75,CA,1566612471,67,50.2,-66.38,61.0,10.29
Sabang,100,PH,1566612608,84,13.8,121.11,82.0,4.0
Caravelas,33,BR,1566612609,80,-17.73,-39.27,70.08,9.51
Metro,0,ID,1566612611,58,-5.11,105.31,84.28,7.31
Sabla,18,NG,1566612612,84,12.75,4.71,75.28,12.53
Virginia Beach,90,US,1566612613,94,36.85,-75.98,75.99,10.29
Lagos,20,NG,1566612579,88,6.46,3.39,77.0,3.36
Lata,30,IN,1566612616,75,30.78,78.62,49.3,3.96
Ardakan,0,IR,1566612617,20,32.31,54.02,68.0,2.24
Nova Prata,0,BR,1566612619,99,-28.78,-51.61,46.0,0.6
Luau,0,CD,1566612620,40,-10.7,22.23,54.69,4.18
Ukiah,1,US,1566612417,29,39.15,-123.21,91.4,10.29
Aranos,0,NA,1566612623,33,-24.14,19.11,49.41,4.83
Innisfail,95,AU,1566612625,49,-17.52,146.03,71.01,5.99
Manono,100,CD,1566612627,43,-7.3,27.4,64.44,2.77
Moroni,20,GR,1566612629,73,35.09,24.92,79.0,3.36
Vardo,1,US,1566612630,93,39.62,-77.74,64.99,2.04
Dong Xoai,94,VN,1566612631,77,11.53,106.92,84.26,2.95
Sao Leopoldo,0,BR,1566612633,93,-29.76,-51.15,53.01,2.24
Bilma,79,NE,1566612634,46,18.69,12.92,86.29,4.54
Kasamatsu,20,JP,1566612635,74,35.37,136.76,91.99,3.36
Mecca,0,SA,1566612637,64,21.43,39.83,80.1,2.53
Puerto Leguizamo,51,CO,1566612638,97,-0.19,-74.78,70.49,1.12
Gat,20,SN,1566612639,88,14.69,-16.54,78.8,5.82
Gilgit,32,PK,1566612641,47,35.92,74.31,52.85,3.58
Hay River,75,CA,1566612642,87,60.82,-115.79,57.2,10.29
Coroata,72,BR,1566612643,46,-6.39,-44.31,68.37,2.35
Bathsheba,20,BB,1566612645,74,13.22,-59.52,82.4,10.29
Puro,100,PH,1566612646,76,13.13,123.76,83.76,14.03
Port Hedland,0,AU,1566612647,14,-20.31,118.58,80.6,8.05
Pisco,0,PE,1566612649,82,-13.71,-76.2,61.0,6.93
Balkanabat,0,TM,1566612650,17,39.51,54.36,89.46,8.08
Vondrozo,0,MG,1566612652,95,-22.82,47.32,52.49,1.86
Hamilton,40,CA,1566612642,58,43.26,-79.87,66.99,4.7
Santa Cruz,0,BR,1566612392,81,-6.22,-36.02,67.45,13.94
Kumluca,0,TR,1566612656,56,36.37,30.29,64.14,7.05
Volchansk,24,RU,1566612657,73,59.94,60.08,56.25,13.27
Itirucu,47,BR,1566612659,92,-13.53,-40.15,61.4,4.41
Kudahuvadhoo,100,MV,1566612660,67,2.67,72.89,82.44,5.1
Guerrero,0,AR,1566612661,51,-24.19,-65.45,60.8,9.17
Provideniya,63,RU,1566612663,53,64.42,-173.23,55.53,3.91
Toktogul,59,KG,1566612664,83,41.87,72.95,60.01,1.88
Boras,75,SE,1566612665,93,57.72,12.94,61.0,4.7
Chichimila,0,MX,1566612667,74,20.62,-88.22,80.79,3.53
Muswellbrook,0,AU,1566612668,31,-32.27,150.89,73.99,14.65
Mana,7,NG,1566612670,82,13.03,5.27,74.54,11.5
Sola,0,TZ,1566612672,70,-3.17,33.8,62.7,6.22
Lukovetskiy,40,RU,1566612674,93,64.29,41.92,44.6,2.24
Tabriz,0,IR,1566612675,22,38.08,46.29,78.8,9.17
Aleksandrov Gay,16,RU,1566612677,75,50.14,48.57,69.73,15.61
San Rafael del Sur,20,NI,1566612679,74,11.85,-86.44,84.2,9.17
Santa,100,PH,1566612680,84,17.49,120.43,81.88,24.83
Kampot,40,KH,1566612682,83,10.62,104.18,80.6,5.82
Key Largo,40,US,1566612395,94,25.09,-80.45,82.0,14.45
Leningradskiy,56,RU,1566612684,81,69.38,178.42,42.21,6.17
Morondava,0,MG,1566612686,50,-20.3,44.28,73.6,6.98
Shirpur,28,IN,1566612486,80,21.35,74.88,79.17,16.08
Manta,0,RO,1566612688,59,45.1,24.1,66.39,3.06
Filingue,55,NE,1566612689,71,14.35,3.32,79.53,13.58
Nelson Bay,0,AU,1566612691,23,-32.72,152.14,75.99,19.46
Aykhal,90,RU,1566612692,93,65.95,111.51,50.0,2.24
Ileza,100,RU,1566612694,94,61.05,43.9,49.7,4.36
Khor,91,RU,1566612695,75,47.88,134.96,65.13,7.25
Klaksvik,100,FO,1566612696,100,62.23,-6.59,53.6,17.22
Ibra,0,OM,1566612698,60,22.69,58.55,79.63,3.09
Mapiripan,90,CO,1566612699,94,2.89,-72.13,72.04,3.89
Estelle,0,FR,1566612700,88,43.97,3.47,66.2,3.36
Vernon,90,CA,1566612702,72,50.27,-119.27,66.2,4.7
Onguday,97,RU,1566612703,87,50.75,86.14,47.2,3.62
Deputatskiy,84,RU,1566612704,46,69.3,139.9,67.29,9.46
Poum,40,MK,1566612706,63,41.28,20.71,66.2,2.24
Khorlovo,20,RU,1566612708,93,55.33,38.81,51.8,4.47
Gamba,100,CN,1566612710,68,28.28,88.52,43.9,6.35
Maningrida,93,AU,1566612711,23,-12.05,134.23,88.35,7.29
Lavumisa,0,ZA,1566612713,38,-27.31,31.88,54.88,5.14
Sisimiut,10,GL,1566612714,72,66.94,-53.67,45.45,7.47
Zaraza,78,VE,1566612716,94,9.35,-65.33,73.96,3.78
Shelburne,1,CA,1566612717,72,44.08,-80.2,64.4,4.7
Morristown,90,US,1566612718,94,36.21,-83.29,75.0,4.7
Papara,20,BR,1566612720,78,-3.98,-38.73,79.0,10.29
Necochea,100,AR,1566612430,90,-38.55,-58.74,46.0,4.0
Madang,100,CN,1566612724,96,35.32,102.79,47.47,2.17
Gillette,90,US,1566612725,93,44.29,-105.5,60.01,12.75
Port-Gentil,100,GA,1566612727,86,-0.72,8.78,75.94,16.4
Port Augusta,67,AU,1566612728,29,-32.49,137.76,66.99,14.99
Kawalu,94,ID,1566612729,73,-7.38,108.21,73.05,5.84
Birganj,100,NP,1566612461,90,27.01,84.88,78.46,8.79
Ewo,100,CG,1566612732,76,-0.88,14.81,72.78,11.14
Kalmar,0,SE,1566612733,93,56.66,16.36,63.0,4.7
Iquique,90,CL,1566612614,67,-20.22,-70.14,60.8,4.7
Friesoythe,0,DE,1566612737,82,53.02,7.86,61.0,3.36
Walvis Bay,0,NA,1566612739,20,-22.95,14.51,87.8,8.05
Imbituva,0,BR,1566612740,81,-25.23,-50.6,48.82,2.17
